day,cbg,susceptible,infectious,recovered
29,120860131001,2688,1,0
29,390719544004,969,1,0
29,320030036222,3679,1,0
29,60670093142,2149,1,0
29,420893003041,1315,1,0
29,320030058383,1644,1,0
29,471630414001,443,1,0
29,211239603002,1002,1,0
30,60710020351,4957,0,1
30,191290403021,1424,0,1
30,490351125021,1220,0,1
30,540790206054,2984,0,2
30,370670026043,2442,0,1
30,310550074665,723,0,1
30,420430201002,1292,0,1
30,170999617013,2124,0,1
30,461030104001,1531,0,1
30,171018807003,946,0,1
30,420730001002,2789,0,1
30,490572105081,2508,0,1
30,340270416031,2361,0,1
30,311090037043,957,0,1
30,340258086001,2096,0,1
30,170318030121,2049,0,1
30,60379203281,2035,1,0
30,271711001005,7866,1,0
30,60374010012,449,1,0
30,180279544002,762,1,0
30,60190079022,1624,1,0
30,220150113002,346,1,0
30,171194035024,1396,1,0
30,490490101084,2250,1,0
30,121150015031,2133,1,0
30,391559333022,1559,1,0
30,470930061041,2265,1,0
30,61070020042,2548,1,0
30,201730095114,1728,1,0
30,420893010012,1491,1,0
30,80410021011,1436,1,0
30,390610207615,1328,1,0
30,60750161001,887,1,0
30,60610215012,4064,1,0
30,61070010031,9592,2,0
30,60610207171,1212,1,0
30,150070404004,2030,1,0
30,120570139231,8561,1,0
30,490351025001,3713,1,0
30,211239602002,1341,1,0
30,220150112005,619,1,0
30,60379201081,5385,1,0
30,80050071071,6488,1,0
30,400850942002,2237,2,0
30,490070003004,1217,1,0
30,390490008204,805,1,0
30,450019504003,1396,1,0
30,171859574001,561,1,0
30,320030067001,425,4,7
31,320030067001,425,3,8
31,60670093261,2351,0,1
31,120860001131,2196,0,1
31,191731803002,870,0,1
31,270530269071,4211,0,1
31,210670039133,5136,0,1
31,120710104103,3473,1,0
31,120710105023,1029,0,1
31,61070009002,2357,0,1
31,60373012064,1187,0,1
31,410470103053,2095,0,1
31,420430245031,3553,0,1
31,310550054002,956,0,1
31,211170647002,1961,0,1
31,360610015011,3236,1,0
31,131530211074,2685,0,1
31,120111001031,2004,0,1
31,320310035043,2932,0,2
31,190039501002,680,0,1
31,371899205001,2550,0,1
31,482015225002,1201,1,0
31,220710134003,1595,0,1
31,180839554003,1168,0,1
31,171118715003,8571,0,1
31,450450028161,7138,1,0
31,420770060015,589,1,0
31,181630107001,2147,1,0
31,391650319023,2060,1,0
31,201730103004,1681,1,0
31,490572018002,1081,1,0
31,420893010012,1490,2,0
31,461030110041,5224,1,0
31,360850277042,2575,1,0
31,320050014002,2035,1,0
31,420171064022,2538,1,0
31,150030089311,3079,1,0
31,291574705002,1109,1,0
31,60650432421,5751,1,0
31,60371256002,1060,1,0
31,181730303002,1718,1,0
31,484391138131,2632,1,0
31,80010093221,2820,1,0
31,420430241041,4255,1,0
31,481210207001,1249,1,0
31,370670028082,1902,1,0
31,311090101001,1115,1,0
31,211739201002,1336,1,0
31,370030404002,1289,1,0
31,360594151024,758,1,0
31,450599201011,3986,1,0
31,220150113002,345,2,0
31,170318438001,781,1,0
31,181730302004,1199,1,0
31,340030280015,1355,1,0
31,421090705003,1279,1,0
31,490490101092,4874,1,0
31,401091070021,951,1,0
31,420950113001,2736,1,0
31,60599800001,32,1,0
31,180510504021,2221,2,0
32,360595203004,451,0,1
32,450450028121,4081,0,1
32,181590204006,942,0,1
32,60190081001,1664,0,1
32,460819663021,2545,0,1
32,490111258071,2198,0,1
32,210930016004,1504,0,1
32,220150112006,1284,0,1
